date,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR
19261103,-0.20,0.02,0.49,0.15,-0.18,0.54
19261104,0.66,0.99,0.78,1.59,0.74,0.45
19261105,-0.59,-0.01,1.05,-0.46,-0.07,0.23
19261106,-0.33,0.01,0.19,0.60,0.32,0.02
19261108,0.32,0.44,0.90,1.23,0.32,0.61
19261109,0.13,-0.21,1.15,0.83,0.05,0.09
19261110,-0.99,-0.65,0.12,0.03,-0.84,-0.54
19261111,1.32,0.21,0.78,1.85,0.65,0.52
19261112,0.12,0.68,0.14,0.83,0.38,0.12
19261113,-0.73,-0.40,0.07,-0.23,-0.25,-0.25
19261115,0.71,0.40,0.80,0.50,0.33,0.41
19261116,0.50,-0.15,0.37,0.09,0.38,0.05
19261117,-0.77,0.05,-0.70,-0.48,-0.39,-0.31
19261118,-1.09,-0.12,-0.41,-0.88,-0.57,-0.38
19261119,-0.43,-0.24,-0.22,-0.72,-0.76,-0.58
19261120,0.83,0.24,0.36,0.52,0.60,0.30
19261122,0.79,0.32,1.00,0.96,0.59,0.57
19261123,0.26,-0.03,1.17,0.31,0.38,0.45
19261124,0.24,0.26,-0.18,0.35,0.16,-0.03
19261126,0.45,-0.17,0.11,0.26,0.22,0.22
19261127,-0.46,-0.13,0.04,-0.32,-0.19,-0.11
19261129,-0.19,-0.73,-0.71,-0.77,-0.14,-0.37
19261130,-0.16,-0.06,0.47,0.44,0.56,0.13
19261201,0.42,0.78,0.45,0.53,0.41,0.31
19261202,0.48,0.38,0.96,0.98,0.57,0.49
19261203,0.97,0.14,0.54,1.15,-0.02,0.44
19261204,-0.22,0.35,-0.13,-0.27,-0.14,-0.20
19261206,0.26,-0.21,0.31,-0.34,0.12,0.06
19261207,0.17,0.13,0.22,-0.38,-0.31,0.13
19261208,-0.27,0.00,0.58,0.47,-0.15,-0.01
19261209,0.55,0.64,-0.24,0.66,0.48,0.43
19261210,0.29,0.68,0.19,0.27,0.47,0.31
19261211,0.41,-0.41,-0.12,0.38,0.31,-0.06
19261213,1.23,0.67,0.73,1.46,0.08,0.53
19261214,-0.26,0.00,0.58,-0.08,-0.02,0.27
19261215,0.50,0.18,-0.51,-0.31,0.32,0.07
19261216,-0.50,-0.63,-0.99,-1.06,-0.52,-0.61
19261217,0.42,0.40,0.24,0.68,0.80,1.13
19261218,0.54,0.11,0.24,0.68,0.30,0.57
19261220,-0.44,-0.12,0.39,-0.94,-0.20,-0.37
19261221,-0.42,-0.48,0.46,-0.26,0.03,0.04
19261222,-0.72,-0.23,0.23,0.86,-0.09,-0.01
19261223,-0.31,0.38,0.39,0.28,0.18,0.42
19261224,0.28,0.36,0.56,0.13,0.26,0.39
19261227,-0.52,-0.48,-0.23,-0.38,-0.25,-0.18
19261228,-1.39,-1.08,-1.39,-1.86,-0.98,-1.16
19261229,0.29,0.19,0.57,1.17,0.29,0.61
19261230,-0.02,0.23,-0.32,-0.71,-0.45,-0.32
19261231,0.84,0.88,0.43,0.96,0.53,0.01
19270103,-0.21,-0.28,-0.77,-1.69,-0.57,-1.14
19270104,0.58,0.01,0.32,0.77,0.24,0.49
19270105,0.85,0.52,0.46,0.59,0.16,0.00
19270106,0.08,-0.28,-0.01,-0.05,-0.35,-0.04
19270107,0.08,0.10,0.79,-0.11,0.25,0.48
